Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
326,-2.84079,1.28958
327,-0.967416,0.663611
328,-1.64843,0.803722
329,-2.83086,1.04085
330,-0.744641,0.455512
331,-6.71666,3.42117
332,-4.73428,1.89578
333,-4.72142,2.14575
334,-2.91077,1.05874
335,-2.33535,1.57344
336,-1.69477,0.716583
337,-6.46587,3.39537
338,-4.52573,2.81782
339,-5.26787,2.70834
340,-2.79713,1.29909
341,-4.83994,2.82402
342,-2.92231,2.34653
343,-4.24285,2.27067
344,-2.81894,1.71978
345,-2.08138,1.30445
346,-0.376821,0.335694
347,-2.56521,1.75504
348,-0.976358,0.445018
349,-0.706165,0.389008
350,-2.49842,1.04985
351,-1.58946,0.723231
352,-2.14196,1.493
353,-2.75676,1.69614
354,-3.22563,1.61414
355,-1.31011,0.776701
356,-2.25872,1.07133
357,-1.79198,1.19809
358,-1.09775,0.543349
359,-3.0669,1.49738
360,-2.51392,2.08153
361,-2.75883,1.82802
362,-2.42629,1.62977
363,-3.71561,2.71263
364,-0.659276,0.39933
365,-5.42188,3.59996
366,-4.54862,2.11152
367,-8.26623,4.28585
368,-1.40652,1.00354
369,-2.94047,1.20908
370,-2.53202,1.86128
371,-1.70654,1.17751
372,-3.80792,1.77964
373,-1.08597,0.423121
374,-5.11281,2.12374
375,-2.07355,0.946638
376,-3.39054,1.59216
377,-3.40182,1.77855
378,-1.45038,0.705081
379,-2.52804,1.4053
380,-2.63721,1.84915
381,-4.47596,1.99534
382,-3.52472,1.82268
383,-2.5407,1.5589
384,-3.12517,1.52156
385,-4.22373,2.26186
386,-2.64653,1.51794
387,-2.26126,1.60587
388,-3.3146,1.38364
389,-0.7305,0.746562
390,-1.93625,1.07374
391,-3.2872,1.8257
392,-2.2225,0.968444
393,-2.52793,1.43939
394,-6.02332,3.12978
395,-2.30073,1.52565
396,-4.79273,1.83987
397,-6.48023,2.81066
398,-5.21047,2.70937
399,-3.2165,2.67692
400,-4.11584,1.82422
401,-3.89157,1.65053
402,-5.39309,2.58462
403,-6.32693,2.70079
404,-1.77837,0.929142
405,-3.1251,1.68868
406,-2.10605,1.2802
407,-2.04177,1.35116
408,-3.93808,1.66136
409,-4.21751,2.87598
410,-3.72835,1.72202
411,-3.40322,1.89066
412,-4.15,2.37525
413,-3.71824,3.11674
414,-4.6147,2.97787
415,-4.02717,1.74082
416,-3.52078,2.21468
417,-1.30706,0.582942
