Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
372,3.43188,0.231185
373,3.89964,0.136013
374,3.59997,0.201836
375,3.72937,0.269484
376,4.06167,0.173483
377,4.02258,0.160041
378,4.01065,0.170905
379,3.76444,0.213118
380,3.72033,0.265314
381,4.15197,0.1807
382,4.08291,0.161142
383,3.74305,0.231372
384,4.1043,0.14377
385,3.79855,0.217968
386,4.03092,0.167802
387,3.6785,0.257173
388,3.89258,0.219728
389,3.81762,0.22124
390,3.88591,0.215346
391,3.76296,0.218398
392,3.67585,0.242565
393,3.61468,0.256221
394,4.08977,0.180978
395,3.67224,0.268369
396,4.04578,0.179047
397,3.52883,0.300077
398,3.53432,0.304853
399,3.58301,0.220042
400,3.58154,0.249736
401,3.6463,0.253252
402,3.75271,0.248173
403,3.42178,0.310162
404,3.51689,0.255216
405,4.18384,0.140205
406,3.60404,0.228462
407,3.79592,0.198259
408,3.84884,0.195442
409,4.2645,0.153156
410,3.48966,0.365582
411,4.1937,0.21814
412,4.19381,0.178563
413,3.9452,0.26512
414,4.14591,0.193899
415,3.89748,0.259184
416,4.20501,0.170612
417,4.05679,0.233757
418,4.46663,0.145058
419,4.19395,0.224509
420,4.21773,0.202229
421,4.22034,0.234546
422,4.29043,0.149285
423,4.21838,0.212578
424,3.90995,0.266171
425,3.74685,0.293744
426,4.24468,0.177358
427,4.26727,0.181829
428,4.30699,0.179835
429,4.32642,0.180346
430,4.33963,0.188104
431,4.3532,0.196102
432,4.34504,0.157025
433,4.29624,0.179334
434,4.49664,0.121883
435,3.89822,0.260458
436,4.21365,0.193204
437,4.30089,0.162138
438,4.40146,0.116071
439,4.12844,0.183277
440,4.33258,0.178337
441,3.92487,0.264926
442,4.21035,0.169537
443,4.51192,0.188695
444,4.33287,0.20741
445,4.00553,0.299114
446,3.93656,0.2877
447,4.56423,0.170176
448,4.28048,0.250286
449,4.53844,0.15003
450,4.11814,0.307726
451,4.75809,0.147671
452,4.53124,0.193996
453,3.93466,0.312065
454,4.16772,0.283784
455,4.10377,0.290176
456,3.86248,0.322588
457,4.73548,0.16516
458,4.63821,0.18078
459,4.36682,0.237188
460,4.8239,0.177159
461,4.42023,0.206775
462,4.49393,0.212364
463,4.2848,0.234575
464,4.49532,0.20197
465,4.61549,0.182162
466,4.36736,0.263034
467,4.47656,0.184079
468,4.60989,0.148574
469,4.14175,0.269865
470,4.35845,0.213502
471,4.61755,0.181539
472,4.40176,0.162459
473,4.5256,0.199898
474,4.68263,0.113295
475,4.53735,0.223918
476,4.44142,0.198514
477,4.50161,0.262589
478,4.85065,0.178446
479,4.92468,0.181685
480,4.51021,0.256528
481,4.56225,0.275851
482,4.78119,0.173062
483,4.45521,0.276461
484,4.67601,0.239443
485,4.58785,0.249192
486,4.69997,0.196944
487,4.52421,0.203828
488,4.52834,0.222834
489,4.78722,0.18186
490,4.46102,0.269666
491,4.49746,0.259205
492,4.90848,0.17065
493,4.55295,0.209303
494,4.70796,0.193587
495,4.86376,0.164008
496,4.82866,0.179331
497,4.81266,0.157371
498,4.4222,0.21106
499,4.53612,0.265224
500,4.74777,0.198358
501,4.64173,0.219632
502,4.83556,0.17573
503,4.5053,0.246158
504,5.04511,0.118544
505,5.04182,0.114631
506,4.53076,0.262474
507,4.80044,0.184706
508,4.85922,0.147737
509,4.6346,0.220851
510,4.65597,0.182519
511,4.75597,0.297499
512,4.65755,0.26452
513,4.76582,0.259977
514,4.99978,0.159753
515,4.43828,0.303427
516,4.94202,0.198742
517,4.95658,0.199867
518,5.35201,0.0935692
519,4.74257,0.240139
520,4.64389,0.276848
521,4.83497,0.255329
522,4.63039,0.283198
523,4.53366,0.264478
524,4.70469,0.274212
525,4.71951,0.246476
526,5.01206,0.200613
527,5.10183,0.169542
528,4.90143,0.193187
529,4.94315,0.198504
530,5.38127,0.0778319
531,4.7898,0.237339
532,4.77424,0.238737
533,4.90104,0.230713
534,4.99966,0.167614
535,4.70585,0.239864
536,4.81028,0.236227
537,4.70698,0.27661
538,4.49262,0.294148
539,4.95541,0.202612
540,4.77186,0.24566
541,5.22379,0.149785
542,5.19533,0.149484
543,4.95122,0.175704
544,4.7302,0.247441
545,5.43128,0.124958
546,5.11724,0.214439
547,5.01988,0.245716
548,5.24255,0.150451
549,5.014,0.237009
550,5.40173,0.0871806
551,5.0252,0.2476
552,5.0393,0.192968
553,4.82491,0.263994
554,5.16155,0.140514
555,5.00654,0.201473
556,5.22579,0.151167
557,5.3587,0.0946298
558,5.23711,0.192327
559,5.03707,0.214956
560,5.38547,0.157814
561,5.06184,0.200674
562,5.19894,0.147475
563,4.47843,0.316405
564,4.46298,0.313638
565,4.99915,0.200292
566,5.29138,0.133544
567,4.7043,0.287713
568,4.90243,0.202603
569,5.22917,0.182327
570,5.02498,0.222205
571,4.62156,0.278694
572,4.87821,0.253609
573,5.24651,0.177303
574,5.18976,0.176279
575,5.14544,0.159259
576,4.68581,0.270699
577,5.00625,0.248191
578,5.0331,0.234876
579,5.25259,0.186691
580,5.26161,0.212652
581,4.99694,0.272536
582,5.12612,0.185013
583,5.25699,0.193212
584,5.33247,0.158491
585,5.26197,0.232486
586,5.33724,0.166598
587,5.21413,0.234181
588,5.40431,0.165202
589,5.24938,0.148242
590,5.17746,0.240326
591,5.40872,0.157737
592,5.69659,0.0693137
593,5.12286,0.235878
594,4.9622,0.271363
595,5.19893,0.228272
596,5.22723,0.186315
597,5.06141,0.230244
598,5.08122,0.27461
599,4.83963,0.297411
600,5.27608,0.195084
601,5.01514,0.222291
602,5.07199,0.246451
603,5.0295,0.206002
604,5.10999,0.18662
605,5.3736,0.150791
606,5.55778,0.117825
607,5.1824,0.178922
608,5.37624,0.201761
609,5.06337,0.223712
610,4.96423,0.236811
611,5.09703,0.214552
612,5.0665,0.211279
613,5.43595,0.195335
614,5.38627,0.207919
615,5.20665,0.244858
616,5.26662,0.214805
617,5.4629,0.156932
618,5.17312,0.232135
619,5.50885,0.177704
620,4.963,0.310236
621,5.59585,0.123409
622,5.41172,0.220762
623,5.36451,0.22047
624,5.31779,0.158488
625,5.30277,0.204225
626,5.32679,0.246389
627,5.63927,0.101303
628,5.61038,0.111045
629,5.04994,0.245743
630,5.28183,0.212493
631,5.26905,0.21116
632,5.42754,0.20271
633,5.63196,0.110652
634,5.33324,0.193042
635,5.31303,0.180165
636,5.24683,0.217682
637,5.55192,0.157165
638,5.62406,0.158826
639,5.46003,0.170412
640,5.52966,0.193528
641,5.51052,0.143182
642,5.33872,0.217089
643,5.52564,0.142601
644,5.31861,0.197273
645,5.59006,0.169037
646,5.44413,0.173551
647,5.46456,0.185977
648,5.55224,0.165239
649,5.43723,0.217898
650,5.00596,0.301182
651,4.99855,0.315575
652,5.54551,0.174536
653,5.39931,0.206945
654,5.52913,0.19265
655,5.72657,0.167282
656,5.57255,0.176835
657,5.60865,0.158292
658,5.13469,0.284406
659,5.42932,0.230573
660,5.4149,0.195947
661,5.45753,0.18044
662,5.55215,0.169397
663,5.76184,0.0865825
664,5.42878,0.191528
665,5.34858,0.201592
666,5.62953,0.151448
667,5.52126,0.211155
668,5.42815,0.198101
669,5.55891,0.21452
670,5.58411,0.16364
671,5.26207,0.260401
672,5.626,0.149512
673,5.02228,0.304211
674,5.418,0.178435
675,5.71599,0.132941
676,5.35387,0.259078
677,5.67345,0.163922
678,4.9746,0.32319
679,5.66331,0.164962
680,5.60155,0.168648
681,5.61206,0.163382
682,5.66524,0.158505
683,5.51305,0.231
684,5.58041,0.203012
685,5.50277,0.202484
686,5.67027,0.162467
687,5.75802,0.145459
688,5.66082,0.180101
689,5.4961,0.221666
690,5.50956,0.20633
691,5.51778,0.168538
692,5.57749,0.156271
693,5.72047,0.131294
694,5.42645,0.187874
695,5.38863,0.237379
696,5.57078,0.130145
697,5.65164,0.18581
698,5.46064,0.205452
699,5.23911,0.256838
700,5.39788,0.24325
701,5.3763,0.210346
702,5.3837,0.235346
703,5.70989,0.162152
704,5.67518,0.216186
705,5.47585,0.210037
706,5.46911,0.216452
707,5.69336,0.170216
708,5.50161,0.234765
709,5.92274,0.0641165
710,5.59921,0.175737
711,5.90073,0.0801099
712,5.59931,0.159447
713,5.45865,0.243472
714,5.56403,0.19254
715,5.6236,0.193005
716,6.00035,0.0946577
717,5.4629,0.252213
718,5.86242,0.122229
719,5.40243,0.251343
720,5.98976,0.0779952
721,5.54222,0.225871
722,5.72954,0.194046
723,5.77312,0.18018
724,5.28911,0.262397
725,5.61165,0.209428
726,5.7394,0.20222
727,5.7654,0.175688
728,5.5633,0.184936
729,5.28618,0.280188
730,5.848,0.153586
731,5.50606,0.246131
732,5.25126,0.291364
733,5.50587,0.200807
734,4.97045,0.3245
735,5.6142,0.244071
736,5.56427,0.256687
737,5.7751,0.14322
738,5.39899,0.260621
739,4.70911,0.360203
740,5.27271,0.275797
741,5.42704,0.249997
742,5.40201,0.262976
743,5.73211,0.129721
744,5.81195,0.142357
745,5.33885,0.251338
746,5.52619,0.241282
747,5.84173,0.127073
748,5.32563,0.285082
749,5.69059,0.207483
750,5.28402,0.276749
751,5.29126,0.31518
752,5.89408,0.13909
753,5.30044,0.265617
754,5.82642,0.149772
755,5.51355,0.206473
756,5.27228,0.282994
757,5.93984,0.103673
758,5.82837,0.172378
759,5.84589,0.164826
760,5.68729,0.197018
761,5.76718,0.165249
762,5.8386,0.184918
763,5.87056,0.153205
764,5.63167,0.184291
765,5.94685,0.157616
766,5.67989,0.229894
767,5.74347,0.173336
768,5.65976,0.222828
769,5.9042,0.11746
770,5.72977,0.176941
771,5.30045,0.298152
772,5.66594,0.230571
773,5.51832,0.213285
774,5.60209,0.220917
775,5.6323,0.24057
776,5.28955,0.289287
777,5.72789,0.178685
778,5.67424,0.220123
779,5.83182,0.166138
780,5.75289,0.156829
781,5.59453,0.260113
782,5.78746,0.146196
783,5.85449,0.20526
784,5.5922,0.246344
785,5.94541,0.147869
786,6.04418,0.0895765
787,6.08161,0.0550343
788,5.8012,0.162269
789,5.10463,0.333074
790,5.95306,0.184121
791,5.98007,0.113422
792,5.97752,0.121297
793,5.60199,0.240446
794,6.05532,0.0957026
795,5.94863,0.136417
796,5.43246,0.258371
797,6.01953,0.0915357
798,5.73551,0.207104
799,5.55459,0.246657
800,5.91497,0.113187
801,6.01976,0.114552
802,5.95048,0.136985
803,5.81677,0.196269
804,5.88734,0.136758
805,5.97779,0.134992
806,6.05979,0.124272
807,6.08706,0.100286
808,5.90837,0.13113
809,5.96245,0.15723
810,5.89134,0.184608
811,5.59513,0.245832
812,5.58028,0.272548
813,5.90501,0.189317
814,5.84098,0.169588
815,5.83534,0.180417
816,5.60647,0.218876
817,5.97616,0.132244
818,5.5787,0.257635
819,6.01073,0.146158
820,5.57889,0.212539
821,5.71002,0.219815
822,6.07262,0.077994
823,6.08383,0.12922
824,5.79029,0.207425
825,5.91145,0.196287
826,6.12369,0.0875253
827,5.89421,0.200321
828,5.65363,0.262767
829,5.97163,0.159851
830,5.98292,0.109813
831,5.86543,0.172708
832,6.08228,0.154983
833,5.56538,0.239223
834,5.95721,0.145242
835,5.22291,0.345705
836,5.80375,0.230906
837,5.99383,0.136263
838,5.74006,0.202421
839,6.04238,0.100369
840,5.86878,0.159324
841,6.07187,0.144394
842,5.75191,0.244333
843,5.58281,0.26257
844,6.0699,0.125687
845,5.73451,0.193476
846,5.84717,0.219511
847,6.03126,0.104699
848,5.95774,0.146426
849,5.92015,0.205172
850,5.91183,0.123898
851,5.89404,0.197757
852,6.12076,0.0946857
853,5.66494,0.258579
854,5.9311,0.181358
855,5.79756,0.229194
856,5.67826,0.257231
857,6.08452,0.139115
858,5.85112,0.216619
859,5.7894,0.227612
860,5.58099,0.290951
861,5.73313,0.249629
862,6.04843,0.152577
863,5.90526,0.167582
864,5.44917,0.295726
865,5.84742,0.193433
866,5.48853,0.310714
867,6.06703,0.143164
868,6.09357,0.0963565
869,5.74641,0.226665
870,6.0654,0.104177
871,5.91585,0.206769
872,5.95336,0.136041
873,5.74554,0.258176
874,6.03197,0.160053
875,5.74548,0.256209
876,5.93792,0.161858
877,5.86454,0.173214
878,6.0716,0.173844
879,6.18706,0.0912576
880,5.70535,0.226871
881,6.04096,0.168939
882,5.6728,0.232541
883,5.92969,0.188462
884,6.06494,0.129619
885,6.12748,0.135229
886,6.10094,0.143332
887,5.61538,0.275185
888,5.77598,0.221338
889,6.21924,0.104214
890,6.0337,0.163519
891,5.93892,0.176689
892,6.02829,0.109386
893,5.92621,0.205694
894,5.95311,0.189056
895,5.74037,0.230438
896,5.84819,0.23138
897,5.6882,0.257872
898,5.81558,0.25638
899,5.9611,0.149226
900,6.14835,0.155081
901,6.05909,0.123671
902,5.80386,0.211166
903,5.57802,0.295046
904,5.61091,0.252285
905,5.84524,0.217294
906,6.00848,0.188801
907,6.01146,0.137947
908,5.92014,0.173475
909,6.06326,0.16112
910,5.84199,0.223284
911,5.98149,0.206577
912,6.14223,0.0955211
913,5.93934,0.156631
914,6.21783,0.0555524
915,6.06488,0.170432
916,5.89092,0.200002
917,5.98609,0.180014
918,5.80939,0.206366
919,5.92663,0.223933
920,6.0082,0.198952
921,5.72152,0.256623
922,5.96868,0.186513
923,5.51948,0.305937
924,6.24,0.10292
925,5.78071,0.232421
926,5.96065,0.190334
927,5.83349,0.241245
928,5.89595,0.201229
929,5.49239,0.267611
930,5.74759,0.288245
