Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
673,933.817,262.617
674,845.146,284.547
675,943.179,273.793
676,908.572,284.643
677,818.112,294.054
678,803.246,242.075
679,1368.93,205.867
680,919.417,252.087
681,1086.06,218.545
682,989.859,244.29
683,914.379,244.608
684,954.482,246.824
685,605.813,300.914
686,1109.65,201.851
687,440.813,311.758
688,827.39,237.409
689,1367.85,146.847
690,923.553,235.637
691,988.834,241.893
692,1007.57,262.593
693,1072.59,229.067
694,834.37,287.872
695,1574.39,97.7887
696,735.299,268.278
697,786.435,265.627
698,590.117,282.11
699,725.303,251.069
700,1051.87,250.823
701,572.695,318.412
702,1234.89,210.221
703,1170.81,277.525
704,850.646,276.117
705,697.271,267.159
706,1152.12,242.766
707,389.941,323.488
708,823.284,277.935
709,854.605,268.154
710,1049.11,249.246
711,495,331.835
712,641.869,289.055
713,913.074,274.665
714,1086.1,237.574
715,1036.76,252.642
716,985.709,245.129
717,868.186,255.37
718,664.38,281.824
719,1032.63,265.482
720,1139.56,227.601
721,1117.88,216.901
722,1142.13,232.813
723,802.119,240.048
724,627.346,287.896
725,415.307,350.007
726,906.22,263.197
727,1053.41,228.435
728,1080.64,248.032
729,566.966,296.057
730,1053.88,263.073
731,973.221,238.555
732,885.455,265.324
733,1132.67,242.116
734,892.469,261.62
735,622.801,293.367
736,763.243,268.38
737,890.089,244.616
738,561.435,311.497
739,1082.88,238.491
740,374.376,299.094
741,779.639,290.76
742,724.172,265.999
743,988.951,305.483
744,730.381,290.647
745,880.768,232.491
746,685.824,266.861
747,883.635,260.255
748,1013.17,250.403
749,1124,245.435
750,444.697,296.712
751,693.286,315.135
752,125.6,358.581
753,690.606,262.62
754,1105.23,208.071
755,608.031,385.541
756,567.25,324.739
757,653.422,278.193
758,640.978,304.596
759,367.273,296.093
760,560.038,287.97
761,1233,217.675
762,867.384,265.878
763,1040.25,243.175
764,420.897,326.008
765,614.719,347.786
766,861.742,238.212
767,812.297,266.34
768,1082.87,255.544
769,755.201,333.018
770,111.727,358.602
771,964.184,255.171
772,901.907,253.577
773,1118.79,209.572
774,874.454,276.336
775,580.613,329.039
776,228.258,300.737
777,281.979,318.038
778,943.142,270.214
779,1053.66,224.042
780,1090.11,215.457
781,335.413,305.25
782,903.232,268.803
783,1200.73,241.632
784,1161.23,221.259
785,733.595,334.086
786,1097.09,243.248
787,939.158,284.945
788,889.863,263.009
789,836.725,274.186
790,794.953,272.214
791,1155.81,220.078
792,656.059,296.015
793,796.382,283.827
794,1027.36,216.976
795,802.219,371.682
796,1006.64,250.976
797,651.291,291.137
798,722.64,303.291
799,795.518,250.17
800,716.186,289.083
801,1214.18,229.715
802,847.821,261.94
803,1393.84,133.096
804,735.931,305.073
805,645.473,296.974
806,350.97,368.256
807,484.097,304.246
808,679.914,339.024
809,467.314,402.106
810,871.247,279.812
811,991.067,259.628
812,945.168,285.782
813,1013.89,242.854
814,733.244,276.377
815,1227.4,231.865
816,319.281,304.648
817,384.416,289.047
818,493.768,317.037
819,953.184,310.226
820,1023.62,238.83
821,699.964,270.984
822,425.947,305.017
823,811.257,357.391
824,929.731,248.603
825,598.737,286.066
826,127.309,335.941
827,939.208,256.404
828,767.329,264.752
829,903.525,257.836
830,571.297,304.071
831,838.062,264.218
832,721.601,278.238
833,425.003,324.1
834,1222.08,237.738
835,881.288,284.394
836,1054.03,254.789
837,747.353,262.674
838,910.206,246.504
839,951.551,268.054
840,817.726,253.6
841,634.629,287.778
842,426.806,299.585
843,987.202,288.921
844,883.634,250.949
845,25.4537,447.501
846,1013.6,257.429
847,686.769,298.307
848,501.434,287.09
849,1001.96,242.125
850,850.587,259.562
851,844.634,262.909
852,391.122,286.497
853,695.089,281.937
854,1070.99,246.027
855,252.865,310.902
856,721.057,264.338
857,409.994,289.363
858,1044.93,255.777
859,1097.28,245.076
860,645.84,292.815
861,976.382,227.643
862,548.579,314.485
863,322.283,317.987
864,1030.38,229.18
865,709.03,292.522
866,862.609,273.755
867,256.929,312.786
868,672.769,276.822
869,693.894,285.041
870,948.483,213.698
871,773.157,288.995
872,983.663,254.591
873,622.808,303.212
874,121.363,317.638
875,740.826,267.738
876,530.846,290.207
877,856.894,286.813
878,1111.46,244.179
879,453.446,310.902
880,541.833,313.845
881,987.135,238.28
882,905.541,280.559
883,759.542,266.58
884,754.463,269.323
885,1107.57,235.971
886,792.398,269.29
887,1032.05,242.389
888,473.44,310.656
889,501.973,297.374
890,619.626,272.187
891,874.381,257.758
892,-71.9921,299.312
893,971.569,254.848
894,502.448,278.991
895,617.155,296.056
896,486.5,303.942
897,478.92,306.827
898,988.244,262.963
899,704.806,236.96
900,499.189,293.793
901,841.464,259.957
902,680.189,272.732
903,945.653,264.849
904,592.876,291.286
905,1115.4,229.414
906,843.432,291.977
907,433.185,289.556
908,863.447,282.797
909,1239.19,215.283
910,455.252,295.254
911,571.096,266.51
912,1045.04,270.543
913,1290.23,224.031
914,1044.06,250.859
915,1134.33,232.128
916,955.916,287.132
917,628.53,280.261
918,598.382,301.262
919,472.572,306.505
920,708.714,279.031
921,1282.35,223.094
922,479.508,291.113
923,1032.1,234.269
924,767.793,295.893
925,733.517,303.736
926,837.889,285.799
927,1064.87,233.073
928,592.346,265.69
929,968.507,274.624
930,1140.09,227.269
931,565.634,285.548
932,759.67,290.278
933,803.093,289.32
934,576.244,292.339
935,990.099,284.052
936,491.869,300.467
937,971.305,258.528
938,812.598,289.348
939,1021.73,247.919
940,435.5,302.846
941,1014.9,263.266
942,138.146,321.965
943,768.639,277.295
944,1006.84,211.902
945,635.728,280.554
946,636.562,304.501
947,924.012,266.037
948,426.028,313.126
949,814.034,247.318
950,324.992,299.902
951,896.595,295.533
952,707.806,313.431
953,525.79,303.63
954,551.576,288.889
955,966.466,259.057
956,740.263,289.943
957,1089.94,228.908
958,804.022,284.584
959,715.169,249.036
960,126.886,320.297
961,778.286,269.024
962,868.889,254.848
963,496.271,291.143
964,689.269,287.769
965,873.624,270.446
966,1078.44,243.087
967,381.401,289.238
968,602.611,312.987
969,574.679,293.155
970,620.382,312.353
971,1079.08,236.116
972,585.488,291.908
973,643.655,286.567
974,663.199,284.536
975,865.657,234.588
976,542.495,293.844
977,874.308,281.993
978,370.253,302.462
979,1305.36,184.191
980,620.707,282.456
981,1064.82,217.714
982,642.66,296.87
983,385.165,310.172
984,530.063,285.179
985,970.267,257.406
986,1009.35,254.783
987,1017.89,235.42
988,595.029,297.7
989,400.892,290.001
990,998.433,250.95
991,554.705,301.208
992,1040.24,242.652
993,545.812,277.003
994,1171.07,233.811
995,945.423,273.502
996,787.965,287.546
997,447.464,289.258
998,1211.46,173.955
999,615.526,289.906
1000,678.309,289.545
1001,680.217,269.16
1002,719.221,281.518
1003,1214.09,233.295
1004,350.813,319.488
1005,1025.53,241.411
1006,649.942,262.511
1007,721.275,294.748
1008,527.915,291.513
1009,1218.06,193.847
1010,575.431,279.88
1011,1058.8,254.917
1012,781.61,256.767
1013,982.498,238.799
1014,767.31,281.013
1015,582.688,288.125
1016,799.675,277.46
1017,1129.08,236.029
1018,431.745,300.352
1019,602.902,284.003
1020,809.779,263.973
1021,882.407,280.098
1022,782.087,271.709
1023,793.002,274.991
1024,1133.06,233.116
1025,687.978,293.913
1026,919.505,286.812
1027,356.676,306.139
1028,626.257,291.388
1029,550.548,294.038
1030,897.417,265.99
1031,482.984,289.772
1032,1155.92,226.207
1033,494.497,316.424
1034,1247.97,213.144
1035,831.012,269.909
1036,797.166,277.788
1037,624.041,322.426
1038,520.858,287.244
1039,915.479,294.386
1040,716.499,253.58
1041,635.889,279.22
1042,891.281,257.23
1043,70.7604,318.166
1044,898.259,268.349
1045,904.909,276.401
1046,703.485,295.653
1047,702.867,272.229
1048,395.015,307.619
1049,793.333,294.561
1050,649.524,256.943
1051,337.453,273.982
1052,394.876,297.879
1053,359.475,307.71
1054,656.46,276.721
1055,963.559,268.076
1056,933.107,274.28
1057,606.504,303.851
1058,754.343,278.231
1059,361.295,296.364
1060,1110.57,216.333
1061,770.567,265.796
1062,757.009,287.623
1063,644.241,300.454
1064,1042.34,249.537
1065,664.606,278.121
1066,983.971,242.121
