Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
621,1464.72,50.3417
622,1524.29,40.4407
623,1427.55,58.6528
624,1440.72,52.6755
625,1396.87,61.3914
626,1431.77,62.4985
627,1428.27,62.6821
628,1390.56,68.5636
629,1427.89,55.7014
630,1403.94,65.7912
631,1531.97,34.4474
632,1431.84,67.4024
633,1453.14,65.0471
634,1509.01,35.3264
635,1469.73,48.5059
636,1413.02,69.0946
637,1510.21,45.4204
638,1479.56,48.4255
639,1493.56,50.6133
640,1450.24,59.3642
641,1494.93,49.5308
642,1418.51,58.9172
643,1581.82,30.0232
644,1472.93,55.8055
645,1498.75,43.6762
646,1519.05,49.9274
647,1480.02,46.9503
648,1451.41,57.0674
649,1514.55,40.783
650,1517.63,41.9945
651,1385.4,73.5118
652,1460.6,59.8068
653,1474.15,50.5015
654,1444,58.1369
655,1496.35,48.1498
656,1424.4,62.8367
657,1478.57,61.9558
658,1470.82,52.7626
659,1462.29,63.0787
660,1506.61,48.5975
661,1412.16,74.7011
662,1460.54,58.7784
663,1414.91,60.3338
664,1445.39,53.7259
665,1522.93,46.4195
666,1438.97,60.2418
667,1474.15,56.2757
668,1453.47,58.168
669,1454.26,78.7187
670,1603.91,18.5388
671,1531.29,46.6473
672,1438.86,53.511
673,1493.13,46.999
674,1518.45,44.7561
675,1533.01,42.5928
676,1492.81,52.812
677,1479.8,61.6829
678,1510.35,47.7306
679,1482.27,43.2892
680,1562.51,34.4553
681,1499.42,44.1723
682,1508.48,43.8742
683,1472.36,61.1484
684,1352.84,71.3828
685,1500.36,45.1113
686,1493.45,43.3161
687,1542.5,36.7376
688,1495.54,55.7499
689,1522.49,38.1138
690,1525.32,35.9758
691,1492.42,39.882
692,1543.47,42.0776
693,1376.26,73.609
694,1506.27,55.3229
695,1495.22,71.7844
696,1523.77,46.3457
697,1538.02,44.5434
698,1432.88,68.2146
699,1520.39,47.6055
700,1519.91,52.7357
701,1480.01,55.6076
702,1417.39,71.6569
703,1450.05,60.9802
704,1475.15,53.8882
705,1458.75,62.2521
706,1518.95,62.0633
707,1431.19,58.9202
708,1435.1,64.7696
709,1419.1,76.8259
710,1455.73,54.4815
711,1481.24,61.8016
712,1529.02,50.2869
713,1420.78,68.5819
714,1489.62,51.7711
715,1507.66,49.892
716,1501.01,57.3817
717,1581.47,25.8908
718,1449.63,63.5649
719,1481.49,73.8566
720,1550.65,34.7903
721,1443.53,77.1722
722,1503.53,71.0048
723,1549.99,37.7986
724,1385.14,82.481
725,1546.59,55.4975
726,1533.56,36.8046
727,1397.08,85.4595
728,1589.37,26.1872
729,1496.8,64.9389
730,1614.49,21.2826
731,1437.97,73.8938
732,1500.62,61.8474
733,1568.74,39.8741
734,1476.02,74.4076
735,1464.94,80.2213
736,1431.7,85.0177
737,1467.51,76.8793
738,1521.87,70.4214
739,1549.96,50.422
740,1474.99,54.4488
741,1535.55,59.0671
742,1513.13,53.0733
743,1524.03,46.7756
744,1537.82,41.5422
745,1506.58,66.9413
746,1493.52,48.3794
747,1471.63,57.0582
748,1552.3,38.5262
749,1492.06,58.553
750,1499.79,49.0999
751,1479.3,68.6424
752,1563.35,27.7572
753,1570.46,30.4403
754,1535.28,46.8234
755,1533.53,42.5752
756,1521.42,48.684
757,1545.74,39.5303
758,1481.84,49.5648
759,1544.15,34.2545
760,1453.44,76.1506
761,1524.3,67.5662
762,1591.04,21.8954
763,1414.12,84.6666
764,1531.75,49.4242
765,1552.72,46.7315
766,1542.27,51.3095
767,1507.24,55.9315
768,1459.89,71.2691
769,1476.77,59.2831
770,1474.71,57.9349
771,1550.03,36.469
772,1455.26,57.5532
773,1496.84,51.6211
774,1583.11,30.1566
775,1545.66,36.5606
776,1542.82,48.6269
777,1562,39.7268
778,1570.3,31.694
779,1580.87,27.159
780,1538.29,33.8402
781,1405,78.8301
782,1490.74,59.4066
783,1372.78,91.6435
784,1484.97,64.7635
785,1565,35.1499
786,1555.69,39.983
787,1549.98,42.5266
788,1520.84,46.8839
789,1560.25,31.5435
790,1505.32,63.4781
791,1436.58,78.2474
792,1384.18,74.8316
793,1473.19,68.8704
794,1510.11,51.0491
795,1478.05,64.5333
796,1622.27,16.0491
